stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
307,81,Cmentarz Brama II,,52.7528163347126,15.216061770916,,,
308,599,Zagłoby,,52.7569194,15.2132528,,,
309,266,Marmurowa,,52.7613628027709,15.2102467417717,,,
310,155,Granitowa,,52.7634111087453,15.208854675293,,,
311,61,Chwalęcice Kościelna,,52.7677972,15.2074444,,,
340,62,Chwalęcice Kościelna,,52.7676437527558,15.2072024345398,,,
341,156,Granitowa,,52.7636594308931,15.2085971832275,,,
342,267,Marmurowa,,52.7610479199335,15.2103674411774,,,
343,600,Zagłoby,,52.7559794538248,15.2138140797615,,,
280,82,Cmentarz Brama II,,52.7533806,15.2149778,,,
318,80,Cmentarz Brama I,,52.7498015393822,15.218049287796,,,
1216,4018,Warta Arena,,52.7474416711513,15.2197444438934,,,
319,29,Błotna,,52.7457717456511,15.2232098579407,,,
1267,228,Roosevelta,,52.7436268082184,15.2254682779312,,,
446,108,Długosza,,52.7420947613995,15.21832421422,,,
113,11,AWF,,52.7309125175896,15.2280324697495,,,
114,59,Chopina,,52.7316972,15.2206889,,,
1214,306,Rondo Europejskie,,52.7390004633989,15.1935768127441,,,
1223,264,Rondo Małyszyńskie,,52.7426298066578,15.1712313294411,,,
58,302,Metalowiec,,52.7439653613781,15.1551930606365,,,
59,502,TPV,,52.7417310243016,15.1538774371147,,,
295,616,Mosiężna/Złotego Smoka,,52.7390719164734,15.1523190736771,,,
296,586,Ziel-Bruk,,52.7393642232858,15.1459220051765,,,
297,572,Yetico,,52.7414549717994,15.1437011361122,,,
193,262,Szczecińska/Mosiężna,,52.7480074991597,15.1462948322296,,,
194,288,Metalowców,,52.7494541020662,15.1389348506927,,,
1240,8901,Lipiańska,,52.7515614129451,15.1296705007553,,,
1258,4020,Odlewników,,52.7419153289694,15.1333504915237,,,
1259,4021,Odlewników,,52.7423001740888,15.1330125331879,,,
1218,1206,Lipiańska,,52.7515711537449,15.1301801204681,,,
208,289,Metalowców,,52.7493177240448,15.1393532752991,,,
312,132,Szczecińska/Mosiężna,,52.7469099322513,15.1468527317047,,,
313,573,Yetico,,52.7422352215644,15.1440685987473,,,
314,587,Ziel-Bruk,,52.7389436256423,15.1467561721802,,,
315,617,Mosiężna/Złotego Smoka,,52.7394389,15.152625,,,
316,503,TPV,,52.7424787930317,15.1544031500816,,,
317,303,Metalowiec,,52.7443169018036,15.1554760336876,,,
1233,265,Rondo Małyszyńskie,,52.7421069400444,15.1735728979111,,,
213,309,Rondo Europejskie,,52.7383460127438,15.1953564584255,,,
4,598,Asnyka,,52.7320194204869,15.2179084718227,,,
5,12,AWF,,52.731140722174,15.2291496098042,,,
192,595,Kołobrzeska,,52.7462020194016,15.1540088653564,,,
195,206,Lipiańska,,52.7518089909298,15.1295739412308,,,
196,15,Słoneczna,,52.7530744577347,15.1248049736023,,,
197,17,Pocztowa,,52.7546523840888,15.1151329278946,,,
198,19,Myśliborska,,52.755012766658,15.1110827922821,,,
199,352,Osiedlowa,,52.7534153725897,15.1057934761047,,,
200,14,Baczyna,,52.7519283148985,15.102057158947,,,
203,615,Baczyna,,52.7518796112773,15.1020812988281,,,
204,353,Osiedlowa,,52.7535777120592,15.1064747571945,,,
205,20,Myśliborska,,52.7548926394662,15.112142264843,,,
206,18,Pocztowa,,52.7544510880226,15.1163747906685,,,
207,16,Słoneczna,,52.7526111,15.1264944,,,
1197,263,Szczecińska/Mosiężna,,52.7472655079902,15.1491487026215,,,
1063,888,Kołobrzeska,,52.7461029756317,15.1541483402252,,,
303,647,Borne Furniture,,52.733477111068,15.1554197072983,,,
571,610,Małyszyńska,,52.7388,15.1623556,,,
304,611,Małyszyńska,,52.7389192665811,15.161669254303,,,
305,648,Borne Furniture,,52.7337499658391,15.1556316018105,,,
6,160,Jagiełły,,52.7330921880404,15.2399253845215,,,
7,521,Biały Kościół,,52.7335404525063,15.2433720231056,,,
8,23,GLS,,52.7404111,15.2440333,,,
9,419,Rondo Piłsudskiego,,52.7464666762397,15.2442705631256,,,
10,216,Czereśniowa,,52.749955774686,15.2445736527443,,,
11,459,SP 13,,52.7535549845699,15.2450296282768,,,
12,407,Rondo Górczyńskie,,52.7567432107985,15.2467650175095,,,
13,1,Bogusławskiego,,52.7611517990593,15.2450162172318,,,
14,91,Dekerta,,52.763717859428,15.2410411834717,,,
15,93,Dekerta Szpital,,52.7624608171214,15.2345877885818,,,
147,94,Dekerta Szpital,,52.7624194,15.234575,,,
148,92,Dekerta,,52.7635555577487,15.240563750267,,,
149,2,Bogusławskiego,,52.7626969718012,15.2438668906689,,,
150,559,Park 750-lecia,,52.7597932352979,15.2455231547356,,,
69,408,Rondo Górczyńskie,,52.7568227511374,15.2463613450527,,,
70,460,SP 13,,52.7540468697255,15.2448713779449,,,
71,217,Czereśniowa,,52.7501035153597,15.2441941201687,,,
107,418,Rondo Piłsudskiego,,52.7469018140499,15.2437502145767,,,
74,24,GLS,,52.7397718256237,15.2437314391136,,,
75,522,Biały Kościół,,52.7338181792651,15.2432352304459,,,
76,161,Jagiełły,,52.7332708447206,15.240370631218,,,
1065,889,TPV,,52.7414330499081,15.153481811285,,,
249,290,Urząd Wojewódzki,,52.7390776002357,15.2285045385361,,,
250,425,Sąd Okręgowy,,52.7439515595021,15.2305135130882,,,
251,3,Rondo Wyszyńskiego,,52.7446936071027,15.2348251640797,,,
252,417,Zacisze,,52.7457725574923,15.2418230473995,,,
90,370,Pluty,,52.7582747426128,15.255424529314,,,
91,326,Park Górczyński,,52.7594832106274,15.2577379345894,,,
92,670,Batalionu ""Zośka"",,52.759760772085,15.2611175179482,,,
1074,6,Armii Krajowej,,52.7599693478058,15.2662901580334,,,
123,200,Kombatantów,,52.762014473164,15.2696000039577,,,
124,517,Bora-Komorowskiego,,52.7647679366756,15.2733162045479,,,
62,518,Bora-Komorowskiego,,52.7648653150446,15.2732518315315,,,
104,201,Kombatantów,,52.7613092403871,15.2684882283211,,,
105,7,Armii Krajowej,,52.7599880140668,15.264505147934,,,
106,605,Batalionu ""Zośka"",,52.7599182184414,15.2602887153625,,,
67,327,Park Górczyński,,52.7589102272867,15.2572309970856,,,
68,371,Pluty,,52.7585831526802,15.2529582381248,,,
108,4,Rondo Wyszyńskiego,,52.7450703091454,15.2355855703354,,,
109,426,Sąd Okręgowy,,52.7437713228385,15.2285796403885,,,
110,291,Urząd Wojewódzki,,52.7389964035616,15.2284803986549,,,
115,452,Rondo Szczecińskie,,52.7378377105421,15.2013713121414,,,
116,448,Słowiańska,,52.7388673005384,15.2011969685555,,,
248,447,Słowiańska,,52.739391829939,15.2015724778175,,,
215,523,Wał Okrężny,,52.7281658477151,15.2428194880486,,,
216,594,Zielona,,52.7273536709055,15.2460515499115,,,
217,561,Woskowa,,52.7254472,15.2469722,,,
218,354,Owcza,,52.7228880525738,15.2492219209671,,,
220,644,SP 4,,52.7192651888408,15.2555385231972,,,
239,212,Krótka,,52.7175560024657,15.2601009607315,,,
240,539,Wiatraczna,,52.7164609181998,15.2631211280823,,,
241,577,Zagrodowa,,52.7147987422211,15.2677935361862,,,
242,476,Strażacka/Wylotowa,,52.7129853871022,15.2772510051727,,,
243,112,Dom Strażaka,,52.710198587829,15.2789622545242,,,
244,106,Deszczowa,,52.7077658834253,15.2808679640293,,,
245,145,Gospodarska,,52.7058417245647,15.286657512188,,,
246,116,Dworska,,52.7013105153682,15.2904608845711,,,
247,474,Strażacka,,52.6980808477905,15.2966192364693,,,
229,117,Dworska,,52.7012845099405,15.2906486392021,,,
230,146,Strażacka Kościół,,52.7049340576787,15.2882359921932,,,
231,107,Deszczowa,,52.7076895037364,15.2811026573181,,,
232,113,Dom Strażaka,,52.7107202121959,15.2788791060448,,,
233,477,Strażacka/Wylotowa,,52.7137620842755,15.2766475081444,,,
234,578,Zagrodowa,,52.714784118691,15.2695369720459,,,
235,540,Wiatraczna,,52.7160287260423,15.2644059062004,,,
236,213,Krótka,,52.7179194,15.2592694,,,
237,464,SP 4,,52.719372416932,15.2553668618202,,,
172,355,Owcza,,52.72358822158,15.2487605810165,,,
173,593,Zielona,,52.7269881864057,15.2467194199562,,,
174,630,Wał Okrężny,,52.7283429002511,15.2424761652946,,,
182,450,Słowiańska,,52.7388055907821,15.2013820409775,,,
1,341,Os. Staszica,,52.7406389,15.2113944,,,
82,340,Os. Staszica,,52.7425193881439,15.21120429039,,,
63,159,Hubala,,52.7620867000419,15.2671605348587,,,
64,316,Obrońców Pokoju,,52.7635766570012,15.2611416578293,,,
65,192,Działkowców,,52.7646348525524,15.2568018436432,,,
66,624,Pl. Jana Pawła II,,52.7630524186986,15.2542135119438,,,
568,444,CSR ""Słowianka"",,52.7437031249876,15.2172231674194,,,
562,451,Słowiańska,,52.739154736936,15.2018997073174,,,
572,439,Komenda Miejska Policji,,52.7482,15.2364639,,,
333,438,Komenda Miejska Policji,,52.7475512653852,15.2360764145851,,,
570,445,CSR ""Słowianka"",,52.7432736384503,15.2180318534374,,,
120,623,Pl. Jana Pawła II,,52.7622295303691,15.2538299560547,,,
121,193,Działkowców,,52.7641771699023,15.2584353089333,,,
122,315,Obrońców Pokoju,,52.7630540417371,15.2630031108856,,,
125,135,Fieldorfa""Nila"",,52.7638201091754,15.2760815620422,,,
1262,1717,Fieldorfa""Nila"",,52.7626401649505,15.2752849459648,,,
127,545,Wieprzyce PKP,,52.7185470787692,15.180943608284,,,
128,310,Zajezdnia Kostrzyńska,,52.7197493378273,15.1832610368729,,,
129,520,Tartaczna,,52.7220920231116,15.1891136169434,,,
130,373,Pl. Słoneczny,,52.7235541068773,15.1988875865936,,,
131,339,Os. Słoneczne,,52.7246880003158,15.2053034305573,,,
132,305,Olimpijska,,52.7256431770668,15.2102226018906,,,
133,115,Żelazna,,52.7275014882109,15.2193957567215,,,
134,163,Jancarza,,52.7294279404568,15.2251946926117,,,
135,580,Dworcowa,,52.7299889,15.2309028,,,
1207,190,Katedra,,52.7310928074315,15.2390563488007,,,
1208,374,Herberta,,52.7323840507242,15.2437368035316,,,
1263,1375,Pl. Staromiejski,,52.733293582791,15.2468132972717,,,
138,488,CEZiB,,52.7338003138543,15.2510887384415,,,
139,420,Rondo Santockie,,52.7340471807001,15.254967212677,,,
140,322,Rondo Solidarności,,52.7383021658227,15.2566355466843,,,
141,382,Pomorska,,52.7415434711744,15.2542108297348,,,
142,358,Park Kopernika,,52.7445279870706,15.250471830368,,,
143,470,Stilon,,52.7470706723283,15.2542859315872,,,
144,491,Walczaka Szpital,,52.7519413025217,15.2609968185425,,,
1209,10420,Medyk,,52.7544543347407,15.2644729614258,,,
145,405,Rondo Gdańskie,,52.7573762829426,15.2683782577515,,,
146,434,Szarych Szeregów,,52.7601892845462,15.2722299098969,,,
1255,1041,Fieldorfa""Nila"",,52.7632626016862,15.276406109333,,,
1256,10422,Fieldorfa""Nila"",,52.762547650778,15.2754083275795,,,
1257,4355,Szarych Szeregów,,52.7602704417344,15.27224868536,,,
17,406,Rondo Gdańskie,,52.7573113528897,15.2682065963745,,,
1210,1042,Medyk,,52.7544770617608,15.2643066644669,,,
18,492,Walczaka Szpital,,52.7521507274103,15.2611416578293,,,
19,471,Stilon,,52.7470349523624,15.2541679143906,,,
20,359,Park Kopernika,,52.7445279870706,15.2503752708435,,,
21,383,Pomorska,,52.7418519997001,15.2536851167679,,,
22,323,Rondo Solidarności,,52.7380910503996,15.2565604448318,,,
23,421,Rondo Santockie,,52.7340406842221,15.2545648813248,,,
24,489,CEZiB,,52.7337905690817,15.2502089738846,,,
25,375,Pl. Staromiejski,,52.7330759464878,15.2459912002087,,,
26,189,Wełniany Rynek,,52.7315800735442,15.2408668398857,,,
95,8,Katedra,,52.7313055809705,15.2380800247192,,,
1241,4433,Wybickiego,,52.7330726981765,15.2365672588348,,,
97,856,Pl. Nieznanego Żołnierza,,52.7348129462653,15.2352194488049,,,
98,47,Borowskiego,,52.7365831693562,15.2338340878487,,,
99,515,Pl.Grunwaldzki,,52.7391376856772,15.2322247624397,,,
100,431,Sąd Okręgowy,,52.7431721523553,15.2298215031624,,,
101,57,Chodkiewicza,,52.7465121386022,15.2306717634201,,,
102,196,Kilińskiego,,52.7500190921789,15.2317768335342,,,
103,365,Piaski,,52.7526134067346,15.232640504837,,,
260,366,Piaski,,52.7529770530003,15.2323454618454,,,
261,197,Kilińskiego,,52.7503470428492,15.2318143844604,,,
262,58,Chodkiewicza,,52.7470576832532,15.2308917045593,,,
263,432,Sąd Okręgowy,,52.7432257370429,15.2297329902649,,,
264,516,Pl.Grunwaldzki,,52.7398741315882,15.2317231893539,,,
265,48,Borowskiego,,52.7364930358808,15.2338635921478,,,
266,855,Pl. Nieznanego Żołnierza,,52.7348178185376,15.235148370266,,,
190,443,Wybickiego,,52.7327900941701,15.2367120981216,,,
1211,1189,Katedra,,52.7307768936586,15.2375650405884,,,
27,579,Dworcowa,,52.7299607048055,15.2300870418549,,,
28,162,Jancarza,,52.7293694659245,15.2247333526611,,,
29,114,Żelazna,,52.7274625034757,15.2191704511642,,,
30,304,Olimpijska,,52.7258933389491,15.2113008499146,,,
31,338,Os. Słoneczne,,52.7248277043441,15.2058506011963,,,
32,372,Pl. Słoneczny,,52.7239634815479,15.2009582519531,,,
